"95% - полиэстер, 5% - хлопок; плотность 160 г/м2",хлопок/полиэстер
"95% - полиэстер, 5% - хлопок; плотность 160 г/м²",хлопок/полиэстер
"96% полиэстер, 4% эластан",полиэстер
"97% полиэстер, 3% спандекс",полиэстер
"98% хлопок, 2% спандекс; плотность 296 г/м2",хлопок/полиэстер
акрил,акрил
акрил,акрил
акрил 100%,акрил
акрил 40%; шерсть 30%; нейлон 30%,акрил
"акрил 50%; хлопок 50%, плотность 240 г/м²; джерси",хлопок/полиэстер
"акрил 50%; хлопок 50%, плотность 280 г/м²; джерси",хлопок/полиэстер
"акрил 70%, шерсть 30%,  флис внутри",акрил
"акрил, 49%; хлопок, 49%; полиамид, 2%; плотность 240 г/м²; джерси",хлопок/полиэстер
"акрил, 49%; хлопок, 49%; полиамид, 2%; плотность 280 г/м²; джерси",акрил
"акрил, флис внутри",акрил
"акрил, хлопок",акрил
акрил; искусственный мех; подкладка-флис,акрил
акрил; переплетный картон,акрил
акрил; флис,акрил
акриловое волокно,акрил
альпака 100%,хлопок
"альпака 50%; шерсть, 40%; микрофибра, 10%",акрил
"верх - нейлон 100%, вощеный; подкладка - полиэстер 100%, 290Т",полиэстер
"верх - нейлон 100%, вощеный; подкладка - полиэстер 100%, 290Т, наполнитель: пух 90%, перо 10%",полиэстер
"верх - нейлон 100%; подкладка - полиэстер 100%; утеплитель - полиэстер 100%, плотность 172 г/м2",полиэстер
"верх - нейлон 100%; подкладка - полиэстер 100%; утеплитель - полиэстер 100%, плотность 172 г/м²",полиэстер
верх - нейлон 100%; подкладка-сетка - полиэстер 100%,полиэстер
верх - нейлон 100%; утеплитель - полиэстер 100%,полиэстер
"верх - полиамид, 93%, эластан 7%; термополиуретан 100%; подкладка - полиэфир 100%; наполнитель - пух 70%, перо 30%",полиэстер
"верх - полиэстер 100%, 210T; подкладка - полиэстер 100%",полиэстер
"верх - полиэстер 100%, 300T; подкладка, набивка - полиэстер 100%, вес 330 г/м2",полиэстер
"верх - полиэстер 100%, 300T; подкладка, набивка - полиэстер 100%, вес 330 г/м²",полиэстер
"верх - полиэстер 100%, 300Т; подкладка, набивка - полиэстер 100%, вес 330 г/м2",полиэстер
"верх - полиэстер 100%, 300Т; подкладка, набивка - полиэстер 100%, вес 330 г/м²",полиэстер
"верх - полиэстер 100%, дюспо, 240Т; утеплитель - синтепон, плотность 200 г/м²",полиэстер
"верх - полиэстер 100%, оксфорд; подкладка - полиэстер 100%; утеплитель - полиэстер 100%, плотность 170 г/м2",полиэстер
"верх - полиэстер 100%, оксфорд; подкладка - полиэстер 100%; утеплитель - полиэстер 100%, плотность 170 г/м²",полиэстер
"верх - полиэстер 100%, подкладка - полиэфир 100%; наполнитель - пух 70%, перо 30%",полиэстер
"верх - полиэстер 100%, таслан; подкладка - полиэстер 100%, 210T; набивка - полиэстер 100%, вес 155 г/м²",полиэстер
"верх - полиэстер 100%; утеплитель - полиэстер 100%; подкладка - полиэстер 100%, переработанный",полиэстер
"верх - полиэстер 65%, полиэстер 35%, переработанный; низ - нейлон, 72%, полиэстер 28%, переработанный; подкладка - полиэстер 100%, переработанный; утеплитель - полиэстер 100%",полиэстер
верх - хлопок 100%,хлопок
верх - хлопок 100%; подошва - резина,хлопок
"верх и подкладк - полиэстер 100%, дюспо, 240Т; утеплитель - синтепон, плотность 200 г/м²",полиэстер
"верх и подкладка - полиэстер 100%, переработанный; утеплитель - полиэстер 100%",полиэстер
верх и подкладка - полиэстер 100%; наполнитель - синтепон,полиэстер
"верх и подкладка - полиэстер 100%; утеплитель - полиэстер 30%, переработанный полиэстер 70%",полиэстер
"верх и подкладка - полиэстер 100%; утеплитель - полиэстер, плотность 200 г/м²; синтепон",полиэстер
"верх и подкладка - полиэстер 100%; утеплитель - полиэстер, плотность 200 г/м²; утеплитель - синтепон",полиэстер
верх и подкладка - полиэстер 100%; утеплитель - синтепон,полиэстер
"верх и подкладка - полиэстер 100%; утеплитель - синтепон, плотность 300 г/м2",полиэстер
"верх и подкладка - полиэстер 100%; утеплитель - синтепон, плотность 300 г/м²",полиэстер
"верхняя часть - полиамид, 72%, полиэфир 28%; нижняя часть - полиамид, 93%, эластан 7%; термополиуретан 100%; подкладка - полиэфир 100%; наполнитель - пух 70%, перо 30%",полиэстер
вискоза,хлопок
"вискоза, 70%; полиамид, 30%; плотность 275 г/м²",хлопок/полиэстер
"вискоза, полиэстер, хлопок",хлопок/полиэстер
"вискоза, хлопок",хлопок/полиэстер
"вискоза, хлопок, полиэстер",хлопок/полиэстер
"вискоза, хлопок, эластан",хлопок/полиэстер
"вискоза, эластан, хлопок",хлопок/полиэстер
вискоза/полиэстер,хлопок/полиэстер
"внешняя сторона - полиэстер 94%; эластан 4%, софтшелл, плотность 340 г/м²; подкладка - полиэстер 100%, микрофлис и сетка",полиэстер
"внешняя сторона - полиэстер 94%; эластан 6%, плотность 340 г/м², софтшел; подкладка - полиэстер 100%, микрофлис и сетка",полиэстер
"внешняя сторона - полиэстер 94%; эластан 6%, плотность 340 г/м2, софтшелл; подкладка - полиэстер 100%, микрофлис и сетка",полиэстер
"внешняя сторона - полиэстер 94%; эластан 6%, плотность 340 г/м², софтшелл; подкладка - полиэстер 100%, микрофлис и сетка",полиэстер
"внешняя сторона - полиэстер 94%; эластан 6%, софтшелл, плотность 340 г/м2; подкладка - полиэстер 100%, микрофлис и сетка",полиэстер
"внешняя сторона - полиэстер 94%; эластан 6%, софтшелл, плотность 340 г/м²; подкладка - полиэстер 100%, микрофлис и сетка",полиэстер
"внешняя сторона - полиэстер 95%; эластан 5%; софтшелл; подкладка - полиэстер 100%, 160 г/м2",полиэстер
"внешняя сторона - полиэстер 95%; эластан 5%; софтшелл; подкладка - полиэстер 100%, 160 г/м²",полиэстер
дерево; акрил,акрил
"джерси, хлопок 100%, плотность 170 г/м2",хлопок
"джерси, хлопок 100%, плотность 180 г/м2",хлопок
джерси; хлопок 100%,хлопок
"джерси; хлопок 100%, плотность 150 г/м²",хлопок
"джерси; хлопок 100%, плотность 160 г/м²",хлопок
"джерси; хлопок 100%, плотность 170 г/м2",хлопок
"джерси; хлопок 100%, плотность 170 г/м²",хлопок
джинс,хлопок
другое,другое
искусственный шелк,полиэстер
"клин и козырек - полиэстер 65%, хлопок 35%; сетка - полиэстер 100%",хлопок/полиэстер
композитная кожа,другое
"купол 85% акрил, 15% шерсть, козырек верх 100% пол",акрил
лен,хлопок
лен; хлопок 100%,хлопок
"лицевая сторона - нейлон 100%, 210T; подкладка - полиэстер 100%, плотность 210 г/м2",полиэстер
"лицевая сторона - нейлон 100%, 210T; подкладка - полиэстер 100%, плотность 210 г/м²",полиэстер
"лицевая сторона - нейлон 100%, 210T; подкладка - полиэстер 100%, плотность 210 г/м²; флис",полиэстер
"лицевая сторона - нейлон 100%, 210Т; подкладка - полиэстер 100%, плотность 210 г/м²",полиэстер
материал верха - полиэстер 100%; утеплитель - полиэстер 100%,полиэстер
микроволокно,полиэстер
"микроволокно, подкладка нейлон 100%",полиэстер
микрофибра,флис
"микрофибра, полиэстер 90%, полиамид 10%, плотность 190 г/м²",флис
"микрофлис, нейлон, полиэстер",флис
